"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 14:55:50 GMT 2022","Thu Aug 11 14:55:53 GMT 2022","3229","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithEmptyPhoneNumber","Оформить карту при отсутствии данных в поле Мобильный телефон. Негативный сценарий.","Ввести данные пользователя, оставить пустым поле Мобильный телефон и оформить карту."
"passed","Thu Aug 11 14:55:35 GMT 2022","Thu Aug 11 14:55:37 GMT 2022","2018","","CreditCardTest","","CreditCardTest","failureGetCreditCard","Оформить карту, оставив все поля ввода данных пустыми. Негативный сценарий.","Не вводить никаких данных пользователя и оформить карту."
"passed","Thu Aug 11 14:55:37 GMT 2022","Thu Aug 11 14:55:39 GMT 2022","2643","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutFio","Оформить карту при отсутствии данных в поле ФИО. Негативный сценарий.","Ввести данные пользователя, оставить пустым поле ФИО и оформить карту."
"passed","Thu Aug 11 14:55:47 GMT 2022","Thu Aug 11 14:55:50 GMT 2022","3141","","CreditCardTest","","CreditCardTest","failureGetCreditCardWithoutPhoneNumber","Оформить карту при условии Мобильный телефон = +7. Негативный сценарий.","Ввести данные пользователя, ввести неполный номер в поле Мобильный телефон и оформить карту."
"passed","Thu Aug 11 14:55:53 GMT 2022","Thu Aug 11 14:55:56 GMT 2022","3545","","CreditCardTest","","CreditCardTest","failureGetCreditCardBirthDateMoreThanSeventy","Оформить карту при условии Дата Рождения = TODAY_MINUS_70_YEARS_MINUS_1_DAY. Негативный сценарий.","Ввести данные пользователя, ввести дату рождения, чтобы возраст клиента был более 70 лет."
"passed","Thu Aug 11 14:55:02 GMT 2022","Thu Aug 11 14:55:06 GMT 2022","3811","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту при условии ФИО = Антонов-Бубонов Антон Антонович. Позитивный сценарий.","Ввести данные пользователя и оформить карту."
"passed","Thu Aug 11 14:55:20 GMT 2022","Thu Aug 11 14:55:24 GMT 2022","3503","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Антонов Антон Антон11. Негативный сценарий.","Ввести данные пользователя, ввести ФИО латиницей, спецсимволами, цифрами и оформить карту."
"passed","Thu Aug 11 14:54:59 GMT 2022","Thu Aug 11 14:55:02 GMT 2022","3198","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту при условии ФИО = Антонов Антон. Позитивный сценарий.","Ввести данные пользователя и оформить карту."
"passed","Thu Aug 11 14:55:13 GMT 2022","Thu Aug 11 14:55:17 GMT 2022","3726","","CreditCardTest","","CreditCardTest","failureGetCreditCardInvalidFio","Оформить карту при условии ФИО = Anton Antonow Antonowich. Негативный сценарий.","Ввести данные пользователя, ввести ФИО латиницей, спецсимволами, цифрами и оформить карту."
"passed","Thu Aug 11 14:54:47 GMT 2022","Thu Aug 11 14:54:59 GMT 2022","11640","","CreditCardTest","","CreditCardTest","succesGetCreditCard","Оформить карту при условии ФИО = Антонов Антон Антонович. Позитивный сценарий.","Ввести данные пользователя и оформить карту."
